Company Name,Ticker,% Change LT Growth Est. (4 weeks),F0 Consensus Est.,F1 Consensus Est.,F2 Consensus Est.,P/E (Trailing 12 Months),P/E (F1),P/E (F2),PEG Ratio,Div. Yield %,Net Margin,% Change F2 Est. (4 weeks),% Change F1 Est. (4 weeks),Exchange,Sector,Month of Fiscal Yr End,Industry,Last EPS Surprise (%),Previous EPS Surprise (%),Avg EPS Surprise (Last 4 Qtrs),Next EPS Report Date ,Debt/Total Capital,Market Cap 
"Nikon Corp.","NINOY","0","-.19",".75","1.09","20.41","26.12","17.97","26.12",".37","-.01","0","0","OTC","Computer and Technology","3","Electronics - Manufacturing Machinery","-17.39","0","87.32","20180510","16.916","7853.22"
"NEC Corp.","NIPNF","","","","","63.83","","","","0",".01","","","OTC","Computer and Technology","3","Computer - Integrated Systems","","","","20180426","29.87999","7814.2"
"Nidec Corp.","NJDCY","0",".81","1.01","1.25","43.53","40.08","32.39","1.83",".21",".09","0","0","OTC","Computer and Technology","3","Electronics - Miscellaneous Components","","","","20180424","26.62","47946.55"
"NewJersey Resources Corporation","NJR","0","1.74","2.6","2.04","14.13","15.31","19.53","2.55","2.74",".06","0","7.85","NYSE","Utilities","9","Utility - Gas Distribution","164.41","-16.67","516.93","20180504","42.622","3490.66"
"NIKE, Inc.","NKE","0","2.4","2.25","2.64","28.93","29.66","25.29","3.02","1.2",".12",".69",".06","NYSE","Consumer Discretionary","5","Shoes and Retail Apparel ","17.95","18.75","22.48","20180322","22.797","108712.06"
"Nektar Therapeutics","NKTR","","-.78","-1.33","-2.61","","","","","0","-3.15","-115.7","-13.39","NSDQ","Medical","12","Medical - Drugs","63.16","76.19","30.73","20180508","73.62899","16586.32"
"Nielsen Holdings Plc","NLSN","0","2.65","2.66","2.53","15.7","12.73","13.43","1.59","4.01",".07","0","0","NYSE","Business Services","12","Business - Information Services","-7.59","-8.82","-18.67","20180424","65.289","12097.37"
"Annaly Capital Management Inc","NLY","-72.08","1.21","1.17","1.16","8.59","8.96","9.06","7.34","11.45","1.06","-5.96","-5.39","NYSE","Finance","12","REIT and Equity Trust","3.33","3.45","2.53","20180502","16.655","12152.85"
"New Mountain Finance Corporation","NMFC","","1.37","1.38","1.4","9.89","9.75","9.63","","10.11",".55","",".36","NYSE","Finance","12","Financial - SBIC & Commercial Industry","2.94","-2.94","0","20180514","45.65499","1021.33"
"NMC Health PLC Unsponsored ADR","NMHLY","0",".99","1.45","1.84","","32.06","25.26","1.42",".41","","0","0","OTC","Medical","12","Medical Services","","","","20180314","","9665.87"
"NMI Holdings Inc","NMIH","",".55","1.34","1.87","28.2","13.47","9.68","","0",".12","-2.61","-1.83","NSDQ","Finance","12","Insurance - Property and Casualty","29.41","42.86","16.15","20180503","22.03499","1171.13"
"Nomura Holdings Inc ADR","NMR","0",".6",".65",".62","9.53","9.38","9.84","5.87","1.15",".17","0","0","NYSE","Finance","3","Financial - Investment Bank","","","","20180426","85.041","20927.35"
"Newmark Group, Inc.","NMRK","0","1.1","1.49","1.73","","10.47","9",".51","0",".09","2.67","-.22","NSDQ","Finance","12","Real Estate - Operations","0","","","20180511","","2357.81"
"Nissan Chemical Industries, Ltd.","NNCHY","25","1.37","1.7","1.98","25.21","23.28","19.99","1.86",".55",".13","","","OTC","Basic Materials","3","Chemical - Diversified ","","","","20180316","1.917","5976.58"
"Nelnet, Inc.","NNI","","","","","12.52","","","","1.16",".14","","","NYSE","Finance","12","Financial - Consumer Loans","","","","20180514","90.79399","2259.3"
"National Retail Properties","NNN","0","2.53","2.65","2.75","15.42","14.75","14.21","3.06","4.87",".45",".46",".38","NYSE","Finance","12","REIT and Equity Trust - Retail","-1.56","1.56","1.21","20180501","40.18299","6003.54"
"Noah Holdings Ltd.","NOAH","","2.25","2.13","2.54","23.23","23.77","19.93","","0",".27","0","0","NYSE","Finance","12","Financial - Investment Management","","","","20180521","0","2862.98"
"Northrop Grumman Corporation","NOC","0","13.2","15.25","17.89","25.96","22.6","19.27","2.47","1.28",".08","1.44",".79","NYSE","Aerospace","12","Aerospace - Defense","2.55","26.03","16.17","20180425","67.138","60011.48"
"Nokia Corporation","NOK","0",".33",".31",".37","15.6","19.44","16.17","2.59","2.24","-.06","0","-1.61","NYSE","Computer and Technology","12","Wireless Equipment","36.36","83.33","54.92","20180426","17.56999","33394.83"
"Nomad Foods Limited","NOMD","","1.13","1.37","1.46","17.67","12.26","11.5","","0","","0","0","NYSE","Consumer Staples","12","Food - Miscellaneous","26.09","13.64","","20180322","43.561","2921.42"
"National Oilwell Varco, Inc.","NOV","0","-.4",".26","1.11","","144.27","33.89","24.04",".53","-.03","-.6","2.46","NYSE","Oils-Energy","12","Oil and Gas - Mechanical and and Equitment","0","12.5","6.88","20180426","16.044","14293.4"
"Novanta Inc.","NOVT","","1.58","1.91","2.16","35.28","29.66","26.24","","0",".12","3.1","3.51","NSDQ","Computer and Technology","12","Electronics - Miscellaneous Components","7.32","23.29","23.89","20180514","46.65","1965.11"
"ServiceNow, Inc.","NOW","-6.55","1.2","1.98","2.95","146.58","88.27","59.19","2.05","0","-.08","1.24","1.54","NYSE","Computer and Technology","12","Computers - IT Services","0","18.75","17.48","20180425","51.88899","30472.92"
"Neenah Paper, Inc.","NP","0","4.19","4.47","5.11","18.5","17.9","15.68","3.58","2.05",".08","-.78","-6.18","NYSE","Basic Materials","12","Paper and Related Products","15.22","4.08","9.88","20180509","38.853","1352.33"
"Nippon Paint Holdings Co., Ltd.","NPCPF","0","","","","","","","","0","","","","OTC","Construction","3","Paints and Related Products","","","","","","11620.11"
"Nippon Yusen Kabushiki Kaisha","NPNYY","","","","","","","","","0","-.13","","","OTC","Transportation","3","Transportation - Shipping","","","","20180427","58.54999","3466.07"
"EnPro Industries","NPO","43.87","2.72","3.76","4.45","33.63","20.58","17.39",".92","1.24",".41","8.48","9.15","NYSE","Industrial Products","12","Manufacturing - General Industrial ","3.08","-17.98","-16.12","20180507","40.64799","1670.19"
"NSK Ltd.","NPSKY","","","","","15.96","","","","1.72",".05","","","OTC","Industrial Products","3","Metal Products - Procurement and Fabrication","","","","20180314","22.06399","7714.64"
"Naspers Ltd.","NPSNY","",".82","2.24","","","27.01","","",".15",".48","","0","OTC","Consumer Discretionary","3","Cable Television","","","","","20.34399","132849.53"
"Nordea Bank AB","NRBAY","",".95",".97","1","14.13","12.24","11.87","","4.82",".25","0","0","OTC","Finance","12","Banks - Foreign","-18.18","","","20180426","85.58799","48073.5"
"National Research Corporation","NRCIB","",".98","","","89.36","","","","4.63",".2","","","NSDQ","Business Services","12","Business - Information Services","-60.87","-43.48","","20180501","0","1268.33"
"NRG Energy, Inc.","NRG","",".49","2.61","2.49","31.14","11.47","12","",".4","-.2","32.1","32.91","NYSE","Utilities","12","Utility - Electric Power","737.5","-33.7","374.24","20180501","88.91999","9494.2"
"NOMURA RESH LTD","NRILY","0",".42",".57",".48","29.15","20.46","24.29","2.27",".59",".1","4.35","3.64","OTC","Business Services","3","Technology Services","","","","20180316","7.11609","11137.82"
"New Residential Investment Corp.","NRZ","","2.73","2.19","2.17","6.03","7.75","7.83","","11.77",".63","4.7",".57","NYSE","Finance","12","REIT and Equity Trust","12.96","14.29","27.31","20180507","0","5714.3"
"Nustar Energy L.P.","NS","",".84","1.61","1.16","30.62","13.12","18.15","","20.73",".08","-28.15",".63","NYSE","Oils-Energy","12","Oil and Gas - Production Pipeline - MLB","-100","-44.44","-58.77","20180423","56.817","1968.94"
"National Storage Affiliates Trust","NSA","0","1.24","1.35","1.46","20.96","19.41","17.92","2.43","4.27",".01",".61","-.37","NYSE","Finance","12","REIT and Equity Trust - Other","3.23","0","-.81","20180502","42.972","1318.64"
"Nissan Motor Co.","NSANY","","2.49","3.41","2.62","6.33","6.22","8.09","","3.94",".06","2.34","17.99","OTC","Auto-Tires-Trucks","3","Automotive - Foreign","195.74","18.18","55.94","20180510","48.93099","41462.45"
"Norfolk Souther Corporation","NSC","0","6.49","8.43","9.3","21.5","16.91","15.32","1.41","2.02",".51",".05","0","NYSE","Transportation","12","Transportation - Rail","8.33","6.71","7.24","20180425","35.83399","40486.64"
"Insight Enterprises, Inc.","NSIT","","3.22","3.96","4.27","11.07","9.07","8.39","","0",".01","","12.73","NSDQ","Retail-Wholesale","12","Retail - Mail Order","2.53","7.35","30.74","20180502","26.01399","1285.45"
"Nationstar Mortgage Holdings Inc.","NSM","","1.58","2.15","2.35","11.46","8.53","7.82","","0",".02","-2.09","-2.27","NYSE","Finance","12","Financial - Mortgage & Related Services","0","2.33","4.93","20180503","85.22599","1792.33"
"Insperity, Inc.","NSP","0","2.36","3.04","3.49","16.16","23.14","20.14","1.29","1.14",".03","18.71","14.8","NYSE","Business Services","12","Staffing Firms","19.57","16.33","14.4","20180507","61.15299","2916.35"
"Nestle SA","NSRGY","0","3.56","4.11","4.48","","19.63","18.01","2.77","2.38",".08","4.92","6.2","OTC","Consumer Staples","12","Food - Miscellaneous","","","","","14.96599","251120.2"
"Nippon Steel & Sumitomo Metal Corp.","NSSMY","0","1.03","1.9","1.9","11.88","12.06","12.06","4.83",".89",".03","0","0","OTC","Basic Materials","3","Steel - Producers","","","","20180427","30.87","21785.16"
"NetApp, Inc.","NTAP","-4.91","2.7","3.42","3.72","19.67","18.84","17.33","1.75","1.24",".09","2.14","2.59","NSDQ","Computer and Technology","4","Computer- Storage Devices","10","17.39","11.25","20180523","41.442","17289.05"
"Bank of N.T. Butterfield & Son Limited (The)","NTB","0","2.82","3.41","4.13","16.29","13.69","11.33","2.28","3.25",".33","7.98","1.19","NYSE","Finance","12","Banks - Foreign","0","5.71","4.65","20180424","12.44799","2556.85"
"NetScout Systems, Inc.","NTCT","0","1.88","1.42","1.65","16.11","19.46","16.74","1.95","0",".03","0","0","NSDQ","Computer and Technology","3","Computer - Networking","2.99","7.41","3.81","20180503","11.401","2404.21"
"Nintendo Co.","NTDOY","",".83","1.4","2.37","52.9","40.33","23.85","","1.01",".2","4.4","1.69","OTC","Consumer Discretionary","3","Toys - Games - Hobbies","350","400","302.54","20180313","0","64147.72"
"Ntt Data Corporation","NTDTY","0","",".4",".47","23.39","25.5","21.7","3.19",".47",".04","4.44","2.56","OTC","Business Services","3","Technology Services","","","","20180313","35.039","14305.5"
"NetEase, Inc.","NTES","0","14.19","14.91","16.49","22.1","21.08","19.06","1.6",".95",".2","0","0","NSDQ","Computer and Technology","12","Internet - Software and Services","3.32","12.83","5.69","20180509","1.30639","41518.02"
"NETGEAR, Inc.","NTGR","","2.7","3.26","","21.76","18.42","","","0",".01","","1.24","NSDQ","Computer and Technology","12","Computer - Networking","7.58","19.12","10.18","20180425","0","1884.44"
"National Bank of Canada","NTIOF","","4.26","4.59","4.87","11.4","10.73","10.11","","3.84",".22",".21",".66","OTC","Finance","10","Banks - Foreign","4.46","4.67","4.69","20180530",".06724","16763.04"
"Intellia Therapeutics, Inc.","NTLA","","-1.68","-2.25","-3.13","","","","","0","","-17.26","-15.83","NSDQ","Medical","12","Medical - Biomedical and Genetics","10.2","-7.14","-8","20180313","0","1200.21"
"Nutanix Inc.","NTNX","0","-1.46","-.64","-.25","","","","","0","-.6","16.54","15.02","NSDQ","Computer and Technology","7","Computers - IT Services","33.33","38.46","21.82","20180524",".26249","8258.63"
"Potash Corporation of Saskatchewan Inc.","NTR","0","1.84","2.43","2.81","101.36","20.84","18.05","1.98","1.97",".07","3.08","3.12","NYSE","Basic Materials","12","Fertilizers","-25","-5.88","6.73","20180205","30.88899","32647.96"
"Northern Trust Corporation","NTRS","0","4.69","6.1","6.72","22.72","17.95","16.29","1.44","1.53",".21","2.32","1.33","NSDQ","Finance","12","Banks - Major Regional","3.85","7.14","2","20180424","23.989","24703.46"
"Nippon Telegraph and Telephone Corporation","NTTYY","6.27","3.43","4.24","4.33","10.99","11.14","10.91","1.43","2.05",".07","2.12","1.44","OTC","Utilities","3","Diversified Communication Services","","","","20180521","21.215","93530.71"
"Nuance Communications, Inc.","NUAN","0","1","1.18","1.25","15.35","15.25","14.31","1.27","0","-.08","0","0","NSDQ","Computer and Technology","9","Computer - Software","12.5","33.33","14.75","20180508","53.173","5274.84"
"Nucor Corporation","NUE","0","3.47","4.92","5.31","19.07","13.76","12.75","1.15","2.25",".07","0","-.08","NYSE","Basic Materials","12","Steel - Producers","18.18","1.28","2.64","20180419","26.302","21521.14"
"Nu Skin Enterprises, Inc.","NUS","14.51","3.24","3.56","3.72","22.86","20.83","19.91","2.06","1.97",".06","2.48","-2.47","NYSE","Consumer Staples","12","Cosmetics","2.56","0","4.16","20180502","30.60799","3907.19"
"Nuveen Municipal Value Fund, Inc","NUV","","","","","","","","","4.08","","","","NYSE","Finance","10","Financial - Investment Funds","","","","","","1954.97"
"NuVasive, Inc.","NUVA","6","1.91","2.46","2.82","26.39","20.62","17.99","1.3","0",".08","3.47","4.32","NSDQ","Medical","12","Medical - Products","0","8.33","3.89","20180424","42.17699","2596.66"
"NovoCure Limited","NVCR","","-.71","-.5",".12","","","194.14","","0","-.35","135.35","-37.5","NSDQ","Medical","12","Medical Services","14.29","35","15.23","20180426","46.15499","2035.84"
"NVIDIA Corporation","NVDA","0","4.2","6.34","7.1","50.87","39.41","35.19","3.84",".24",".31","0","0","NSDQ","Computer and Technology","1","Semiconductor - General","48.28","41.49","40.76","20180508","20.992","151104.8"
"Novo Nordisk A/S","NVO","0","2.51","2.63","2.8","21.93","19.34","18.19","3.32","1.6",".34","-.3","-.94","NYSE","Medical","12","Large Cap Pharmaceuticals","-7.02","6.9","3.67","20180502","0","124302.27"
"NVR, Inc.","NVR","0","147.66","188.66","220.73","21.8","16.38","14","1.07","0",".09","0","0","NYSE","Construction","12","Building Products - Home Builders","-11.32","5.29","11.03","20180419","27.10799","11380.76"
"Nevro Corp.","NVRO","0","-1.24","-.76",".01","","","7596.75","","0","-.11","-84.76","-59.34","NYSE","Medical","12","Medical - Instruments","-7.14","8.7","-32.17","20180514","36.78799","2590.45"
"Novartis AG","NVS","0","4.79","5.36","5.76","17.17","15.48","14.4","1.93","3.59",".16","0","0","NYSE","Medical","12","Large Cap Pharmaceuticals","3.45","3.2","3.42","20180424","23.83099","192140.3"
"Novozymes A/S","NVZMY","0","1.69","1.75","1.91","33.42","30.55","27.99","2.44","0",".21","0","0","OTC","Basic Materials","12","Chemical - Specialty","-6.52","","","20180425","0","13433.42"
"Northwest Bancshares, Inc.","NWBI","0",".9","1.03","1.06","20.24","16.7","16.23","1.67","3.95",".2","0","0","NSDQ","Finance","12","Financial - Savings and Loan","4.76","9.09","-1.87","20180423","15.37699","1764.33"
"NorthWestern Corporation","NWE","35.88","3.4","3.42","3.36","15.52","15.09","15.38","6.36","4.06",".12","3.07",".07","NYSE","Utilities","12","Utility - Electric Power","-3.92","7.14","-3.59","20180425","50.23099","2552.35"
"Newell Brands Inc.","NWL","-7.99","2.74","2.7","2.91","10.54","10.75","9.95","1.49","3.17",".19","-1.64","-1.86","NYSE","Consumer Staples","12","Consumer Products - Staples","1.49","-6.52","3.34","20180514","41.08499","14065.95"
"National Western Life Group, Inc.","NWLI","","","","","11.29","","","",".11",".13","","","NSDQ","Finance","12","Insurance - Life Insurance","","","","20180508","0","1170.76"
"Northwest Natural Gas Company","NWN","-11.11","2.17","2.22","2.46","25","25.23","22.74","6.31","3.38","-.07",".51","-2.42","NYSE","Utilities","12","Utility - Gas Distribution","7.22","3.23","19.1","20180514","47.91099","1610.09"
"News Corporation","NWS","","","","","34.39","","","","1.19","-.09","","","NSDQ","Consumer Discretionary","6","Film and Television Production and Distribution","75","5.56","15.97","20180508","1.6454","9819.13"
"News Corporation","NWSA","0",".35",".51",".61","33.78","32.32","27.31","2.56","1.21","-.09","3.06","2.81","NSDQ","Consumer Discretionary","6","Film and Television Production and Distribution","26.32","250","93.39","20180508","1.8214","9644.31"
"Next Co., Ltd.","NXCLF","0",".19","","","52.71","","","","0","","","","OTC","Finance","3","Real Estate - Operations","","","","20180319","","1064.35"
"Next PLC","NXGPY","","2.78","2.86","3.04","","11.71","11.02","","5.25","","0","0","OTC","Retail-Wholesale","1","Retail - Apparel and Shoes","","","","20180416","","9624.68"
"NTL EXPRESS GRP","NXPGF","",".38",".41","","","13.12","","","0","","","0","OTC","Transportation","12","Transportation - Services","","","","20180315","","2750.2"
"NXP Semiconductors N.V.","NXPI","0","6.57","7.36","8.09","16.31","16.78","15.28",".84","0",".24","2.44",".3","NSDQ","Computer and Technology","12","Semiconductor - Analog and Mixed","76.37","-17.16","17.52","20180502","29.77","42481.39"
"Nexstar Broadcasting Group, Inc.","NXST","-2.59","3.46","8.28","7.36","18.07","8.64","9.72",".69","2.1",".2","6.88","2.17","NSDQ","Consumer Discretionary","12","Broadcast Radio and Television","13.38","3.16","70.15","20180508","72.97299","3299.12"
"NxStage Medical, Inc.","NXTM","","-.1",".07",".21","","337.78","115.81","","0","-.04","-59.62","-20","NSDQ","Medical","12","Medical - Products","0","33.33","33.33","20180313",".16862","1612.92"
"New York Community Bancorp, Inc.","NYCB","0",".68",".86",".9","17.85","16.89","16.15","1.69","4.7",".26",".37",".47","NYSE","Finance","12","Financial - Savings and Loan","0","23.53","7.66","20180425","65.522","7088.5"
"NRG Yield, Inc.","NYLD","23.03",".81",".89",".9","23.87","19.05","18.73",".61","7.03","-.01","-1.09","-2.91","NYSE","Utilities","12","Electric Construction","-5","-27.03","-7.08","20180501","72.122","3132.23"
